TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,ContinentId,UserRegionId,UserCountryId,UserCityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionCityName,AttractionCountryId,CountryId,AttractionCountry,AttractionRegionId,User_Region,User_RegionId,User_ContinentId,Attraction_Region,Attraction_RegionId,Attraction_ContinentId,Continent,AttractionType,VisitModeId,VisitMode,visitmode_avg_rating,User_Avg_Rating,User_Total_Visits,User_Mode_Avg_Rating,Attraction_Avg_Rating,Attraction_Total_Visits
3,70456,2022,10,640,0.8679380542014483,5.0,21.0,163.0,4341.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,Western Europe,21,5,Central Africa,1,1,Europe,8,2,1,-0.8194092198124423,1.016514406099768,-0.48413615903193075,0.9741914437472885,0.3734143808425771,1.613155205329321
8,7567,2022,10,640,0.8679380542014483,2.0,8.0,48.0,464.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,Northern America,8,2,Central Africa,1,1,America,8,4,3,0.3261006562524137,1.016514406099768,-0.48413615903193075,0.9741914437472885,0.3734143808425771,1.613155205329321
9,79069,2022,10,640,0.8679380542014483,2.0,9.0,54.0,774.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,South America,9,2,Central Africa,1,1,America,8,3,2,1.2164842173320893,1.016514406099768,-0.48413615903193075,0.9741914437472885,0.3734143808425771,1.613155205329321
10,31019,2022,10,640,-1.1927163817443147,5.0,17.0,135.0,583.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,Central Europe,17,5,Central Africa,1,1,Europe,8,3,2,1.2164842173320893,-1.3968893039835417,-0.1954176964292416,-1.3387292886720823,0.3734143808425771,1.613155205329321
15,43611,2022,10,640,-1.1927163817443147,5.0,21.0,163.0,1396.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,Western Europe,21,5,Central Africa,1,1,Europe,8,2,1,-0.8194092198124423,-1.3968893039835417,0.09330076617344756,-1.3387292886720823,0.3734143808425771,1.613155205329321
18,43471,2022,10,640,0.8679380542014483,2.0,8.0,51.0,1806.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,Northern America,8,2,Central Africa,1,1,America,8,4,3,0.3261006562524137,1.016514406099768,-0.1954176964292416,0.9741914437472885,0.3734143808425771,1.613155205329321
22,76492,2022,9,640,-0.16238916377143323,1.0,2.0,9.0,31.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,East Africa,2,1,Central Africa,1,1,Africa,8,2,1,-0.8194092198124423,-0.19018744894188688,-0.1954176964292416,-0.1822689224623969,0.3734143808425771,1.613155205329321
23,20977,2022,10,640,0.8679380542014483,5.0,21.0,163.0,8258.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,Western Europe,21,5,Central Africa,1,1,Europe,8,4,3,0.3261006562524137,1.016514406099768,-0.48413615903193075,0.9741914437472885,0.3734143808425771,1.613155205329321
28,18655,2022,9,640,-1.1927163817443147,1.0,4.0,22.0,114.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,Southern Africa,4,1,Central Africa,1,1,Africa,8,2,1,-0.8194092198124423,-1.3968893039835417,-0.48413615903193075,-1.3387292886720823,0.3734143808425771,1.613155205329321
29,62907,2022,9,640,0.8679380542014483,2.0,8.0,51.0,50.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,1,Cameroon,1,Northern America,8,2,Central Africa,1,1,America,8,2,1,-0.8194092198124423,-0.2763804385877196,3.269203854803028,-0.677894793695119,0.3734143808425771,1.613155205329321
